name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,fixed_effect_type,feature_dimension,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout
npboost-in_context-steps_2D-seed0,hcmchdfj,2026-07-20T11:58:53Z,npboost,in_context,0,rmse,0.5398369140625,0.9527772946053914,0.5321731119791666,0.9413959050646208,3962.844326734543,2.544498443603516,2.2672781944274902,1.6561899127607742,steps,2,174.0,,,,,,,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,hv883epd,2026-07-20T16:10:34Z,npboost,in_context,0,rmse,0.5808869791666667,1.028347610540755,0.5781682942708334,1.023519225510951,3970.5218620300298,2.230485439300537,2.3374011516571045,1.5933845791981698,steps,2,308.0,,,,,,,0.2,1.1508017135300922e-05,10.0,0.0179523383684912,1.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,iq0wfxzm,2026-07-20T07:43:50Z,npboost,in_context,0,rmse,0.5438378255208334,0.9621405805971048,0.5418545572916666,0.9602576691537936,1820.927861213684,2.2831718921661377,2.504956007003784,2.2672169719844613,steps,2,201.0,,,,,,,0.2,0.0008536189862866,5.0,0.2335963502626159,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,l2shn526,2026-07-20T17:54:16Z,npboost,in_context,0,rmse,0.5422121744791667,0.9600636999794416,0.5385326497395834,0.9545974270529664,2898.863447666168,2.298524141311645,2.582972526550293,2.197474572163553,steps,2,221.0,,,,,,,0.2,0.0002091196066971,10.0,0.1284423092280945,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,mmsfcseu,2026-07-20T14:25:34Z,npboost,in_context,0,rmse,0.5514998697916667,0.9648387171790822,0.54333359375,0.9535327694851728,989.5992963314056,2.8299403190612797,2.438547372817993,1.3805029737530974,steps,2,55.0,,,,,,,0.0,0.0008831228248242,10.0,0.3887072196612053,1.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,nguizkak,2026-07-20T18:43:04Z,npboost,in_context,0,rmse,0.54174580078125,0.957776941862093,0.5404630208333333,0.9550356488834898,1596.1002745628357,2.6163523197174072,2.6855275630950928,1.4884360196756234,steps,2,109.0,,,,,,,0.0,8.878664758716842e-05,10.0,0.0222025951448105,0.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,o37d3ugs,2026-07-20T08:55:37Z,npboost,in_context,0,rmse,0.52007001953125,0.9198027436717828,0.5221944986979167,0.9241635599145914,1818.1786541938784,2.4782989025115967,2.581874132156372,1.3475610888559475,steps,2,68.0,,,,,,,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,p9pf9kn0,2026-07-20T13:05:19Z,npboost,in_context,0,rmse,0.5505157552083333,0.9653390437508124,0.5466290364583334,0.9603099128066516,849.8268849849701,2.351962089538574,2.593806028366089,1.2541548339543145,steps,2,45.0,,,,,,,0.0,0.0007472397689332,10.0,0.7069476197217992,0.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,pcu4hwxa,2026-07-20T22:47:22Z,npboost,in_context,0,rmse,0.5407066731770833,0.9572062235887558,0.5390741536458333,0.9549398064060652,2615.202441930771,2.9271960258483887,2.600338220596313,1.6013245954633435,steps,2,191.0,,,,,,,0.2,0.0002213282815989,10.0,0.0152199142675109,0.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,pvuhnwyj,2026-07-20T21:00:35Z,npboost,in_context,0,rmse,0.6072143880208334,1.0731429946461797,0.6078302083333333,1.0762624823083629,672.035501241684,2.5844008922576904,2.686289072036743,1.4326796384428797,steps,2,7.0,,,,,,,0.2,3.6649592076212935e-05,20.0,0.9572167377160832,0.0,100.0,16.0,255.0,-1.0,,
