task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.216803841754937,ve9zkmdi,0.2283461861597544,0.1268896009863876,1366.0,0.0875174422525385,0.0006074996073425
in_context,1,0.2349564027742961,7vltxwsk,0.2509818507275232,0.2101900320019871,612.0,0.003757960087271,0.0001718980674331
in_context,2,0.257880341063281,vzha3ge5,0.2328419954249893,0.1323561718239601,1177.0,0.1556313501899701,0.0005495716186411
in_context,3,0.2002883892979634,bhp5po6q,0.2631267717065612,0.1437083653041294,1327.0,0.0922958724505863,0.0003639639356786
in_context,4,0.2342644454114586,cnuy6f7f,0.251030989137163,0.2104027312807089,600.0,0.003757960087271,0.0001718980674331
few_shot,0,0.1961070128929324,0nlcaux5,0.2748463258016558,0.1760173592811975,611.0,0.1136089122187864,0.0007098936257405
few_shot,1,0.2454224189016844,73sm4axs,0.2315969061222771,0.1982420146865332,931.0,0.003757960087271,0.0001718980674331
few_shot,2,0.2451777657675283,famtvbge,0.228952835193697,0.210699322896126,679.0,0.0236548851737866,0.0001904767808428
few_shot,3,0.2233218508641065,g7hwf0s0,0.2472508807314202,0.2114814738042993,771.0,0.003757960087271,0.0001718980674331
few_shot,4,0.2286133671242682,fqbjs4ng,0.2861698294918244,0.1600022311563845,1135.0,0.0286706574818092,0.0007750644796341
