name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout
npboost-in_context-protein-seed1,d03mi35x,2026-07-21T15:05:45Z,npboost,in_context,1,rmse,0.1352830282071741,0.2400804999482541,0.1397309486043577,0.2500549068976347,609.729532957077,0.3431234359741211,0.3364131450653076,3.45126010978828,217.0,,,,,,,0.2,0.0002371245680478,10.0,0.0322020325894309,1.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed1,dsmykcmb,2026-07-21T16:18:55Z,npboost,in_context,1,rmse,0.2670937315512202,0.3056285362610712,0.2725596344844805,0.3197212108727316,82.88240480422974,0.3334848880767822,0.3381240367889404,3.58765650907379,7.0,,,,,,,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed1,e16xdc9p,2026-07-21T15:54:30Z,npboost,in_context,1,rmse,0.1318389945744637,0.2274568011090436,0.1380071141578594,0.2422818871002109,428.0658414363861,0.3233976364135742,0.3291783332824707,3.4259857083075067,151.0,,,,,,,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,fpq49ea2,2026-07-21T15:31:50Z,npboost,in_context,1,rmse,0.2585750141210257,0.2665839203264162,0.2648872215988744,0.2855818776837174,150.59010910987854,0.337346076965332,0.3118219375610351,2.4248175294845664,38.0,,,,,,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,h96qyc53,2026-07-21T14:00:29Z,npboost,in_context,1,rmse,0.169622108911388,0.257838868356112,0.1785091174188806,0.2789816041152548,166.63685989379883,0.3655714988708496,0.3670659065246582,3.5821206199732125,42.0,,,,,,,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,i3w197sp,2026-07-21T14:03:22Z,npboost,in_context,1,rmse,0.1820398988624067,0.2581838736545562,0.1908892056667846,0.2811676069125979,141.4041976928711,0.3496441841125488,0.3603036403656006,3.364969821855207,34.0,,,,,,,0.0,0.0004242243954166,10.0,0.5800570688908553,1.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,j1827c9q,2026-07-21T15:22:28Z,npboost,in_context,1,rmse,0.2665136117968409,0.3105983856721234,0.2727383337785142,0.3274679303161321,135.4681966304779,0.3528995513916015,0.3401894569396972,4.04876049027703,60.0,,,,,,,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,jdpyen7i,2026-07-21T15:50:39Z,npboost,in_context,1,rmse,0.2117838577111008,0.2669529224039905,0.2182369232177734,0.2846434568497086,224.482186794281,0.3003849983215332,0.297191858291626,3.7594950614574834,120.0,,,,,,,0.2,0.0001181285816262,5.0,0.0610030224551816,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,kfvrbamf,2026-07-21T15:01:54Z,npboost,in_context,1,rmse,0.14811764361551,0.2613830857654416,0.1621111760156079,0.2868912599526671,224.5734503269196,0.3574881553649902,0.3396494388580322,3.449594436257221,62.0,,,,,,,0.2,0.000956484407922,10.0,0.0109977032995056,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,l42csf4s,2026-07-21T13:48:31Z,npboost,in_context,1,rmse,0.1683326714545592,0.2673546739385666,0.1775821061084495,0.2878461027962746,200.0011327266693,0.3466835021972656,0.3410422801971435,3.51602699802845,57.0,,,,,,,0.2,0.0003600091192911,10.0,0.083744968684368,0.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed1,mtf82e3f,2026-07-21T13:43:34Z,npboost,in_context,1,rmse,0.1941203207089095,0.2575290875734221,0.2007516801149587,0.2755073765862465,262.7671685218811,0.3221428394317627,0.3458611965179443,3.5434437254134847,32.0,,,,,,,0.2,0.0001605191133358,20.0,0.0750195444362012,1.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,ocjip0uu,2026-07-21T16:20:23Z,npboost,in_context,1,rmse,0.2582453285775533,0.272474369439643,0.2652795638772253,0.2933034404332384,104.69614052772522,0.3430900573730469,0.3288280963897705,2.105444711515388,43.0,,,,,,,0.0,3.9184339457363744e-05,5.0,0.7978205565731539,1.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed1,qswc1b9v,2026-07-21T13:53:05Z,npboost,in_context,1,rmse,0.2084661875867677,0.2601914799675637,0.2150618257422896,0.2789619542789177,204.220112323761,0.3413288593292236,0.3458013534545898,3.5205086676573645,54.0,,,,,,,0.2,0.0001381635682257,10.0,0.0261669745608544,1.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,rcaf5vdk,2026-07-21T13:59:31Z,npboost,in_context,1,rmse,0.3471486094936676,0.3136347800280286,0.3514228980300318,0.3244161472870375,52.76002383232117,0.2521195411682129,0.2496833801269531,2.918240194009309,10.0,,,,,,,0.2,1.343677338411072e-05,5.0,0.1113002415673063,1.0,10.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,roy1bnuw,2026-07-21T13:57:02Z,npboost,in_context,1,rmse,0.2652427792964497,0.2975625532413916,0.2719096339953485,0.3167780097879927,67.08611488342285,0.3069777488708496,0.2938320636749267,3.61113992614977,2.0,,,,,,,0.2,0.0004385170256085,10.0,0.8972612866432508,1.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,sj5l4xld,2026-07-21T14:10:58Z,npboost,in_context,1,rmse,0.190625413369634,0.2271362046758414,0.1945210300671514,0.2358093150120573,1389.648728609085,0.2917573451995849,0.2781646251678467,3.3552853303299552,306.0,,,,,,,0.0,1.5865500409725956e-05,20.0,0.019901994840577,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,sxq72a2n,2026-07-21T13:52:13Z,npboost,in_context,1,rmse,0.3291301793753062,0.2963600220758313,0.3359154491889767,0.3186013432102505,45.50046110153198,0.307621955871582,0.3420698642730713,1.1622624980102094,4.0,,,,,,,0.2,1.090384328196852e-05,5.0,0.7717846862118062,0.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,wa81cfdw,2026-07-21T15:17:50Z,npboost,in_context,1,rmse,0.1480951342433172,0.2616986548805651,0.1616749580728883,0.2833881438324758,270.9911382198334,0.3607079982757568,0.3312335014343261,3.468045320506331,148.0,,,,,,,0.2,0.0008392140711648,5.0,0.0107859712708854,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,xbklcu4i,2026-07-21T15:16:02Z,npboost,in_context,1,rmse,0.2465641008436887,0.2690410541718522,0.2528259330510262,0.2867729571289077,101.96578788757324,0.3370513916015625,0.3452513217926025,3.417472535990288,19.0,,,,,,,0.0,0.0001083323625032,10.0,0.1351582698334605,0.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,xuxxninu,2026-07-21T15:24:49Z,npboost,in_context,1,rmse,0.2066728013733123,0.2616457214525149,0.212740482768946,0.2779869723249609,414.8441886901856,0.3262989521026611,0.3192694187164306,4.1663630041046975,142.0,,,,,,,0.2,5.4597054376998136e-05,10.0,0.1053508308667582,0.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,zxxwgmig,2026-07-21T16:24:11Z,npboost,in_context,1,rmse,0.2326366876475902,0.2825623831238474,0.2401648730766482,0.3056059911488947,598.6013510227203,0.3510429859161377,0.3396403789520263,3.449714677895118,108.0,,,,,,,0.2,2.017016316297149e-05,20.0,0.0582929613195039,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,zy0m2pl7,2026-07-21T15:39:49Z,npboost,in_context,1,rmse,0.1372297200591722,0.2383798896776077,0.1443558835817131,0.2543037853624343,643.1765913963318,0.3546867370605469,0.3507285118103027,3.449714677895118,231.0,,,,,,,0.2,0.0001496922341954,10.0,0.0831211929407696,1.0,1000.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed2,0t3tonqb,2026-07-21T20:58:45Z,npboost,in_context,2,rmse,0.2073877447573565,0.2494852769753366,0.2002659309201124,0.2189763370007182,1295.195074558258,0.2297396659851074,0.22556734085083,2.5094868838947995,300.0,,,,,,,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed2,1d1apmoo,2026-07-21T19:13:33Z,npboost,in_context,2,rmse,0.2865723732871876,0.3343269634726405,0.2771514400787885,0.2927944848964451,68.09988188743591,0.3576009273529053,0.3439164161682129,3.549141094733768,1.0,,,,,,,0.2,0.0004385170256085,10.0,0.8972612866432508,1.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed2,1o90bqrr,2026-07-21T21:49:12Z,npboost,in_context,2,rmse,0.3493740201411762,0.3473258661777925,0.3417437350708433,0.3089288985103777,47.531760454177856,0.2060725688934326,0.2061765193939209,3.225546953409004,11.0,,,,,,,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed2,20lokce4,2026-07-21T19:24:35Z,npboost,in_context,2,rmse,0.209827157263141,0.2564689602923444,0.2018103117726821,0.2254591922532876,1134.8033831119535,0.2979252338409424,0.2940757274627685,3.358377389759523,246.0,,,,,,,0.0,1.5865500409725956e-05,20.0,0.019901994840577,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed2,2if1xfqt,2026-07-21T21:50:06Z,npboost,in_context,2,rmse,0.2117530743004137,0.2505686677688716,0.2057359077373863,0.2236695180968635,897.7174572944641,0.1695420742034912,0.1679420471191406,3.227760682834937,205.0,,,,,,,0.0,1.702035422361917e-05,20.0,0.0657821692431908,1.0,20.0,16.0,255.0,-1.0,,
