task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.220767609749371,84b5dh9b,0.2175256779684142,0.11992361794679
in_context,1,0.2232105332729392,1qq4p5cj,0.2418741354101763,0.1307384031453718
in_context,2,0.2662757781595543,ocr1buts,0.2415375118938458,0.135356166540216
in_context,3,0.2135804085425893,3pfkp1rs,0.2572959590183186,0.1385875988213754
in_context,4,0.236017702022978,x9jq4s1m,0.2355982480263328,0.1267858224986841
few_shot,0,0.2074531119193262,ppneu0s5,0.2431295033825341,0.1363036638226265
few_shot,1,0.2657859988601734,m0ok8lo7,0.2236086165957676,0.1253823084619421
few_shot,2,0.2482191919319104,ilkzvv4t,0.221199394997501,0.1218932671917554
few_shot,3,0.2210181111934251,d7ebds4a,0.2156105694393437,0.1207502784341963
few_shot,4,0.2327017870735365,ng77x8ju,0.2786754217594731,0.1524333325240788
