task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.2111219635975837,ralxufj2,0.2251517922250311,0.1249663788267129,1857.0,0.0286706574818092,0.0007750644796341
in_context,1,0.2325248691842247,15ngrcz4,0.2569636016141681,0.141056366498462,1644.0,0.0286706574818092,0.0007750644796341
in_context,2,0.2508654983797675,voqco5ue,0.2346535677489745,0.1309912645027612,1595.0,0.1136089122187864,0.0007098936257405
in_context,3,0.1951519546805929,b5xkz5zb,0.2565442447062033,0.1397588444088394,1891.0,0.1136089122187864,0.0007098936257405
in_context,4,0.2310365507737053,a44iguqq,0.2531103696266573,0.1484535828700049,1825.0,0.003757960087271,0.0001718980674331
few_shot,0,0.2223307305704961,ragg2yc4,0.2986052276287088,0.1863496731489133,1728.0,0.1224191445444842,0.0001713436419711
few_shot,1,0.2538115602156265,dqbypvgd,0.2367549044807087,0.1908786240840118,1095.0,0.003757960087271,0.0001718980674331
few_shot,2,0.236151415646461,jl9putqv,0.2450874739271484,0.1369492488029675,1655.0,0.0040436794880651,0.0004626362841475
few_shot,3,0.2441443959977975,d0mn24h5,0.2623768030743518,0.1502553567387699,1024.0,0.1136089122187864,0.0007098936257405
few_shot,4,0.2377931767723253,hybvav93,0.3088792148498317,0.2045516504181756,587.0,0.0040436794880651,0.0004626362841475
