task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.2176622931115998,xrfxh9ux,0.2275940059823602,0.1243054503557262
in_context,1,0.2386156407008232,yre5rrq7,0.2516866004693588,0.1368104199497883
in_context,2,0.2595689724773894,97xy7yrd,0.2279753813611956,0.1260712952887553
in_context,3,0.213669118840416,d3s55qhg,0.2420858804254616,0.1331669839496026
in_context,4,0.2373852940998926,zda2s80d,0.2442180302212178,0.1307449009846679
few_shot,0,0.2346888087085933,s53tzr7h,0.2504351766622588,0.1397285943236791
few_shot,1,0.2709361055318863,s9ibidke,0.2277650283736048,0.1270975282347826
few_shot,2,0.2723320515066649,krlalvs8,0.2346024789007369,0.128659113409445
few_shot,3,0.2203872078462652,j50o5anz,0.2470188164414886,0.136614334590427
few_shot,4,0.240282713630394,ehojok3d,0.3051405890744263,0.1689080164058365
