task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.2615936843318843,d4vczkv8,0.2572597190986851,0.1448743834881679
in_context,1,0.2649769649607434,6rcvyyz3,0.285151295271402,0.158711961128709
in_context,2,0.2949865554846417,xap2oj0s,0.2605464310179405,0.1478808225337105
in_context,3,0.2443650149771545,6glm6e9d,0.2766653886170586,0.1552819670870786
in_context,4,0.2644123580146016,0syr8c42,0.280255869935111,0.1541277989994789
few_shot,0,0.2619282866297663,gno8t3m2,0.2829517031448659,0.1590820207003529
few_shot,1,0.2881833560553768,x4u57z06,0.2647024979971212,0.1500591035612533
few_shot,2,0.288120605287438,n2uxnrke,0.2587584496004892,0.1470970541573978
few_shot,3,0.2607619525567433,cnp40xn9,0.2803282553652335,0.1582552378463939
few_shot,4,0.2835821581670701,bfpm6f9a,0.3148374952060238,0.1759722343390332
