fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
zero,1,in_context,0,0.8793648510329388,kj6wanwd,0.8838137380311765,0.507525824881785
zero,1,in_context,1,0.868403728692095,0vqqx45r,0.8712328716275226,0.5006840908157365
zero,1,in_context,2,0.8842790694980618,k44v5pn6,0.8856605993321589,0.5073817398724404
zero,1,in_context,3,0.8854732791587012,7udvbq7u,0.8975175944231496,0.5149095275690853
zero,1,in_context,4,0.8836775399490208,qzlut6a8,0.882214910093573,0.5067000599006919
zero,1,few_shot,0,0.9374429304659976,7cikvsdv,0.9474809654482388,0.5398512935651396
zero,1,few_shot,1,0.8933442347110828,k3wezup0,0.8642086521434803,0.4985374501484969
zero,1,few_shot,2,0.9062320679712622,susm4db7,0.9338361233533544,0.5306446385990267
zero,1,few_shot,3,0.8745483810202518,hku9640h,0.8854293353636725,0.5103525049744224
zero,1,few_shot,4,0.9040106867287852,n0via6ty,0.9102954995121708,0.5209557777638264
zero,2,in_context,0,1.040133705010721,zx83x8x1,1.0589540441889012,0.5984596961856546
zero,2,in_context,1,1.0426237675335202,huh04xxl,1.0452767714025386,0.5900571222893534
zero,2,in_context,2,1.044780053518637,g5u61sp2,1.0488075187546917,0.5920176490421807
zero,2,in_context,3,1.0555660558704811,xkdmro6i,1.0520090913277147,0.5944488467524222
zero,2,in_context,4,1.0394857120007197,3wffqfu5,1.0403178492064076,0.5873854394507867
zero,2,few_shot,0,1.0743400866754984,rwvvan0q,1.0745514354456889,0.6087293610645141
zero,2,few_shot,1,1.0790233463403869,6xn4v3st,1.0473584134506897,0.5922960421808772
zero,2,few_shot,2,1.0590680199858074,v1t15na8,1.079481589446332,0.6090410173482835
zero,2,few_shot,3,1.0606809554908516,aw8d9ac2,1.0640603385770548,0.602989942449125
zero,2,few_shot,4,1.0649021872155495,ele3wwk1,1.0474020692199533,0.5903261161615001
