fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.5916274137896728,pqp3be5d,0.5961522777541586,0.335205078125,2192.0,0.1202230023486417,0.000260702475837
steps,1,in_context,1,0.5916552999674225,8tjda3cd,0.5991001425208232,0.3376930338541666,2236.0,0.1202230023486417,0.000260702475837
steps,1,in_context,2,0.5945393178295558,puqhppqd,0.5932183618111325,0.3332505208333333,2843.0,0.146398788362281,0.0001575132049977
steps,1,in_context,3,0.5937160379492225,fnzy0cp0,0.5973851514131991,0.3347315755208333,2168.0,0.1202230023486417,0.000260702475837
steps,1,in_context,4,0.5900465386650897,0xxmm2ma,0.5950036432900808,0.3341753255208333,2014.0,0.119579995762217,0.0006978281265126
steps,1,few_shot,0,0.6905965185194367,qg3ui4ru,0.7213409132916468,0.4044375,2238.0,0.1931264066149118,0.0004138040112561
steps,1,few_shot,1,0.6790614383178493,t0kon2qq,0.6722831403784777,0.3780255126953125,1725.0,0.0912139968434072,0.0003718364180573
steps,1,few_shot,2,0.6844507321608229,f5obbxqb,0.7028526239725893,0.3949341430664062,1921.0,0.1202230023486417,0.000260702475837
steps,1,few_shot,3,0.6711483837396105,fjx20k4z,0.6950679068761032,0.3905872802734375,2028.0,0.0912139968434072,0.0003718364180573
steps,1,few_shot,4,0.6878919007543939,rz2xhgik,0.7106300051666588,0.3976717834472656,1501.0,0.1878997883128378,0.000616104953938
steps,2,in_context,0,0.8981852312764033,3nzb6xt6,0.9085003869341016,0.5178263020833334,2221.0,0.0749080237694725,0.0007969454818643
steps,2,in_context,1,0.8900469789388575,nym0482d,0.9054595437089942,0.5243380859375,2157.0,0.0116167224336398,0.0005399484409787
steps,2,in_context,2,0.902900226015286,10typv2a,0.9069244621696148,0.5275241536458334,1941.0,0.0041168988591604,0.0008706020878304
steps,2,in_context,3,0.9052816797023132,1scndbgk,0.9112784939793804,0.5206717122395833,1600.0,0.0130103185970559,0.0007902619549708
steps,2,in_context,4,0.8959714034223227,c5tw0iib,0.8978656591813063,0.5044368489583333,3673.0,0.0608484485919075,0.0001120760621186
steps,2,few_shot,0,1.027519046806458,v0kdnu9r,1.057819858491615,0.5988712768554687,1326.0,0.0912139968434072,0.0003718364180573
steps,2,few_shot,1,1.03697378594143,ez59wars,1.0256854465391378,0.5790023193359375,1008.0,0.0749080237694725,0.0007969454818643
steps,2,few_shot,2,1.0128816076983185,rogrjv96,1.0317672251802343,0.581607421875,1669.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,3,1.007537281931866,98mwaluq,1.0277217739579223,0.5820128173828125,2803.0,0.1202230023486417,0.000260702475837
steps,2,few_shot,4,1.0289940168084808,8gbsp760,1.0112802811658863,0.5682584838867187,1385.0,0.1878997883128378,0.000616104953938
