task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.5652096377851664,hpb8dgsa,0.5973199597414305,0.3254387082833046
in_context,1,0.5874623011844788,ck8pr2q1,0.5793314719700817,0.3309126171968368
in_context,2,0.660408269030444,gz5bm2nw,0.5805652217607963,0.3224882906742895
in_context,3,0.5812502348972475,cxbnjsi7,0.580221371671674,0.3256292859900409
in_context,4,0.5848231729771802,1f1ivasi,0.5605032954717711,0.3201945395850323
few_shot,0,0.5981728665612319,971l3kra,0.6458491640697357,0.3748487214927077
few_shot,1,0.6796621555089343,gbye89ni,0.6850442157747948,0.4164921259443896
few_shot,2,0.6236516368397956,h4oovs4x,0.7664414224798328,0.4597549539674006
few_shot,3,0.747619744449374,fot4p4vy,0.6204184290123947,0.3864570449056004
few_shot,4,0.6398950111217212,d0c2ncfc,0.6043418183971543,0.3378173807717587
