task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.5302130334544903,6cp7j6vr,0.5356403474601853,0.269556742278823
in_context,1,0.5719878024436466,tyyc811w,0.571818070145255,0.2877892591102044
in_context,2,0.5487414530034094,0bcf0cko,0.5272206955359631,0.2666024027005793
in_context,3,0.5335105946920522,o2t45yot,0.5592200050936292,0.2797216812410253
in_context,4,0.5345966356659713,q9r1wgns,0.5407546594907819,0.2752830303844774
few_shot,0,0.6513466680819878,qnci1jbt,0.7159939916998604,0.3979753830630035
few_shot,1,0.8334547933552012,am8k9zql,0.7731699274742292,0.4139082450702555
few_shot,2,0.6908898461193496,hkuclc4k,0.7195954553343892,0.3853885616103348
few_shot,3,0.7371376627454255,058u322t,0.5858638859242774,0.3317825941411108
few_shot,4,0.7151055250226577,av52r8zk,0.6560714405589716,0.3464171631456701
