task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.2523403005761644,8oigk8yd,0.3093235082705343,0.1257422635145133,1686.0,0.0847309598677809,0.0001957889720121
in_context,1,0.2582747413040111,mpjzx7uc,0.2867225371765909,0.1220932319929333,904.0,0.0922958724505863,0.0003639639356786
in_context,2,0.2685848606209347,rj4hyicw,0.2733679150177077,0.1135735411499758,1433.0,0.0040436794880651,0.0004626362841475
in_context,3,0.2638221598529973,dii7b3ki,0.2836836847924008,0.1126874563599354,874.0,0.0040436794880651,0.0004626362841475
in_context,4,0.2474774846930395,rq9onk3e,0.3264973450285871,0.1442658616148907,562.0,0.0236548851737866,0.0001904767808428
few_shot,0,0.5383383382293506,r91jadit,0.6505402174525344,0.3573672466781028,647.0,0.1097627007854649,0.0002693883019285
few_shot,1,0.6075484938408442,e18wq28l,0.6698853805858381,0.3769039378446691,504.0,0.0040436794880651,0.0004626362841475
few_shot,2,0.5572674695291112,qiauhv6c,0.5886744729526868,0.311196959252451,602.0,0.0529111224209254,0.0003535634629148
few_shot,3,0.4428022169848757,i3g46qu1,0.4390598048123852,0.2276686785347083,422.0,0.0040436794880651,0.0004626362841475
few_shot,4,0.4277104374734753,g52qk11r,0.4054371450531454,0.189018897909336,454.0,0.0286706574818092,0.0007750644796341
