task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.411061653393439,nojqhw1s,0.4090488182802417,0.1959005472239482
in_context,1,0.4130790521632587,wwd3945j,0.4288904306602766,0.2068965922389604
in_context,2,0.4126225830787669,ye6eytpm,0.4348592409351465,0.1979914958324636
in_context,3,0.4112974290836819,dppta2sh,0.4397152711719165,0.1972049616853756
in_context,4,0.405196332268081,362pv4xw,0.4344427820525102,0.2018083977170407
few_shot,0,0.5527257410630642,0oxhhy8o,0.5885649787891636,0.313727183153458
few_shot,1,0.6840806255833564,7nhprzt2,0.6445107000478593,0.3294333457926804
few_shot,2,0.9746059598558744,b0mdzgo6,0.975130883286739,0.4729178241155583
few_shot,3,0.5415637184857053,a8y5alct,0.5346048220316918,0.2652729463915841
few_shot,4,0.5618177167878808,q2zdofgh,0.486959514727785,0.2427906764989456
