name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-log_count-seed0,04nw01gt,2026-07-20T08:13:19Z,npboost,in_context,0,rmse,0.1133167614107546,0.2700444468983139,0.1214924059766001,0.2911196330667264,617.4798665046692,0.8131048679351807,0.8129711151123047,6.168931188960575,116.0,0.2,0.0003600091192911,10.0,0.083744968684368,0.0,100.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,16kcieif,2026-07-20T08:23:44Z,npboost,in_context,0,rmse,0.220016098428088,0.3546374002237174,0.2211200402229179,0.359358119778722,1024.3926937580109,0.8630542755126953,0.8144676685333252,6.478833465247169,324.0,0.2,1.090384328196852e-05,5.0,0.7717846862118062,0.0,20.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,1y3d2ncr,2026-07-20T10:57:57Z,npboost,in_context,0,rmse,0.1204839978641733,0.289112915132753,0.1284525536409172,0.3182674809640811,549.7435693740845,0.7950301170349121,0.8366029262542725,6.164268222791559,162.0,0.2,0.0008392140711648,5.0,0.0107859712708854,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,2a9xyzra,2026-07-20T09:23:25Z,npboost,in_context,0,rmse,0.1165423801130067,0.2687549277274723,0.1236324898461989,0.2870157008887838,658.2441997528076,0.8646121025085449,0.8213019371032715,6.302122406993068,126.0,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,3s461hiw,2026-07-20T14:10:50Z,npboost,in_context,0,rmse,0.1815984902625273,0.2773815330218297,0.1849768671061005,0.2859742382023467,529.5895643234253,0.823582649230957,0.7359285354614258,5.064483276442644,160.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,4n4b02hw,2026-07-20T10:23:30Z,npboost,in_context,0,rmse,0.1302811201161833,0.287126257713305,0.1380887680840176,0.3119516022974053,368.52352023124695,0.8238756656646729,0.7951905727386475,6.182713801481483,97.0,0.2,0.0003013710908533,5.0,0.0130634630331783,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,4uz4gj05,2026-07-20T13:38:55Z,npboost,in_context,0,rmse,0.1170161004778568,0.2664145763820413,0.1233768383136093,0.2839097270829172,657.7358448505402,0.8009095191955566,0.7659375667572021,5.948331712757706,127.0,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,548uv874,2026-07-20T09:48:36Z,npboost,in_context,0,rmse,0.1941965010531232,0.2791420835418212,0.2003764156921148,0.3051542486717554,664.2740185260773,0.8781514167785645,0.835390567779541,6.050752265950079,67.0,0.0,1.5865500409725956e-05,20.0,0.019901994840577,0.0,100.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,55i9dlzz,2026-07-20T13:50:02Z,npboost,in_context,0,rmse,0.1463297631429589,0.295787402992113,0.1556892001223248,0.3222815757730074,1239.1596772670746,0.8196992874145508,0.7960562705993652,6.21715083980244,144.0,0.2,2.017016316297149e-05,20.0,0.0582929613195039,1.0,1000.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,6vk6q4jr,2026-07-20T12:12:40Z,npboost,in_context,0,rmse,0.1387007755345342,0.2889499956486145,0.1447356550589851,0.3082411935343455,448.71004009246826,0.9304265975952148,0.8558926582336426,6.143481179459379,124.0,0.2,0.0001181285816262,5.0,0.0610030224551816,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
