task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.3036610157046321,loav0b9i,0.3081176740232574,0.1096628120562506
in_context,1,0.2951020158308345,p7t6kxc8,0.295414820930799,0.1047099938069482
in_context,2,0.3136825582019537,setqkjul,0.2979984435133844,0.1061446892483499
in_context,3,0.2925265807455206,g08q51fz,0.3144231445593909,0.106868739895205
in_context,4,0.3019887867182756,hk23cua4,0.3311631443108135,0.1127748902187231
few_shot,0,0.3368004166560528,8kow8dv1,0.2925405924501991,0.1342174166219221
few_shot,1,0.4199164465686502,x9196kna,0.418257250243716,0.173604426140899
few_shot,2,0.3890679396542308,3simkeqg,0.4216676668363204,0.1773917940684948
few_shot,3,0.3484844400227141,s1qzaxel,0.3209513654424008,0.1426304323069644
few_shot,4,0.3698682884095643,hiehpd22,0.3040023452322909,0.1262699066499589
