task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.2934319460356799,zs1g7ho2,0.3005486633229268,0.1335250863865775
in_context,1,0.3001529964903587,gxmulf3v,0.302081042346103,0.1340390693035067
in_context,2,0.2952580603153575,u4cluc4l,0.3151158010774013,0.1367719320192064
in_context,3,0.2951509952049331,o81rris9,0.3003387637682647,0.1340713188971876
in_context,4,0.3021554785238049,7wu0bnlo,0.2965237572669024,0.1330481991791183
few_shot,0,0.454429635523604,itcdazjb,0.3771063693273254,0.1947014587492878
few_shot,1,0.4384906327982637,wycg1xgr,0.4143188813056927,0.2115781257174427
few_shot,2,0.4273663510643656,2h8d9a3t,0.5079667842296705,0.2606841128944004
few_shot,3,0.3951976491864423,ez0wop0l,0.488787185783604,0.2393641089611358
few_shot,4,0.4273193248652582,uxrttlbp,0.4902532825464377,0.2491235501346343
