task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.2621402974197521,y7y3rvfo,0.2699334440994922,0.1311148342973527,,0.0420765122147681,1.810725406663106e-05
in_context,1,0.2631560920695488,fixrs2fo,0.2690402802708441,0.1257239570356025,,0.0630856701848367,5.338528208876637e-05
in_context,2,0.2568694872546772,fna9ih1x,0.2781771958415978,0.1313308537746325,,0.0317939167291039,1.6624564693643617e-05
in_context,3,0.2634836884392622,4eri0l7r,0.2684148417257766,0.1252410265061531,,0.1333533430891335,0.00021941976179
in_context,4,0.269826930298027,2vfaqzwg,0.2622827172776473,0.1271549908659786,,0.0317939167291039,1.6624564693643617e-05
few_shot,0,0.2954118297762964,ptjzbd88,0.2649829547067359,0.1399720335363659,,0.1927325521002058,5.846326121643416e-05
few_shot,1,0.3018613256385769,vwgai02x,0.2754895440071698,0.1360193058589979,,0.0912300664433097,0.0001370464839284
few_shot,2,0.2654007842435969,j3k289z2,0.3335966415620308,0.1552960509506811,,0.1224191445444842,0.0001713436419711
few_shot,3,0.284591691419708,0objbj4p,0.2908210075899716,0.1427453136642431,,0.1205526752143287,0.0001229607110732
few_shot,4,0.263468961083142,lxy9i7is,0.2744518999344094,0.1393530100036429,,0.1927325521002058,5.846326121643416e-05
