task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.3111276142181021,o6pq615c,0.3203649756259813,0.1736923063732352
in_context,1,0.3242676611503262,cm7s3jbs,0.3220176796303219,0.1753230741029115
in_context,2,0.3203009931238275,b3c6csmh,0.3221813999159721,0.1760909485627892
in_context,3,0.3140969880439502,mvf2ct56,0.3152384863897852,0.1740515821595375
in_context,4,0.3316546366095772,aq1dy0l9,0.3091455837355013,0.1733192600513743
few_shot,0,0.4008619980602876,xyjbcdny,0.3006716714848819,0.1771618423782667
few_shot,1,0.42138885710948,xh1gdg8t,0.313322724922547,0.1814298309895191
few_shot,2,0.3495819967335488,7knh8fus,0.500378693284906,0.2121186851528168
few_shot,3,0.3170695901733265,fuger3zu,0.3792154587970542,0.1996852390992606
few_shot,4,0.3610892732981843,n790z5lc,0.3699315780325858,0.192863803560135
