task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.2947930152192013,zzlhbjb3,0.2956301512600009,0.1376742413454276
in_context,1,0.2979215147202158,leqcc38e,0.2983616979987154,0.1382095148502929
in_context,2,0.2946263252411257,kg6g8rq7,0.3087969788609633,0.1404865500522305
in_context,3,0.2939066045936169,51t9itvp,0.2955297147706819,0.1379909931998812
in_context,4,0.3053118349407286,5dyqbfei,0.288040425060886,0.1365445978156433
few_shot,0,0.3939573301403615,igrzdn7z,0.3130995691553475,0.1557834111960792
few_shot,1,0.3922657190517492,5kn53iuu,0.3249729922997944,0.1607888853509996
few_shot,2,0.3530417379767298,8jzz9rsa,0.4392321412233324,0.1955499388074802
few_shot,3,0.3254144021200897,3td2x560,0.3904287074840297,0.1933492080282695
few_shot,4,0.3651444637299058,4bt5w7j8,0.3697840455606554,0.1813514133355506
