fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.6415938984881362,new0vhi0,0.6458434440303032,0.3626348198784722,2501.0,0.1202230023486417,0.000260702475837
steps,1,in_context,1,0.6513799247352103,s3fm04jc,0.6494055686362136,0.3645999484592014,2547.0,0.1202230023486417,0.000260702475837
steps,1,in_context,2,0.6412205190347443,61g5cedj,0.644676950852139,0.3603202989366319,2927.0,0.1202230023486417,0.000260702475837
steps,1,in_context,3,0.6380661632368045,bmo0rjnq,0.6492288625542008,0.3641519504123264,1787.0,0.119579995762217,0.0006978281265126
steps,1,in_context,4,0.6388199535665035,k0e3xajb,0.6391512220338433,0.3582306247287326,2492.0,0.0912139968434072,0.0003718364180573
steps,1,few_shot,0,0.7707005581123918,tu6hbfq9,0.7694388319988782,0.4288156433105469,1302.0,0.0749080237694725,0.0007969454818643
steps,1,few_shot,1,0.7826563894747955,450lqdwx,0.7487016140781185,0.4197548828125,1622.0,0.0912139968434072,0.0003718364180573
steps,1,few_shot,2,0.795016533822294,un2hxta0,0.7736741049850048,0.431105224609375,1548.0,0.0749080237694725,0.0007969454818643
steps,1,few_shot,3,0.781837011381867,iyelk2uw,0.7755087504645277,0.4318352661132812,1277.0,0.0116167224336398,0.0005399484409787
steps,1,few_shot,4,0.7682914578714263,jh7g74zm,0.7956782553774889,0.44108251953125,1557.0,0.0749080237694725,0.0007969454818643
steps,2,in_context,0,1.0019253162541633,9buqr7m5,1.0030855146963713,0.5634140014648438,2340.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,1,0.9801648038849222,o3ru4dp9,0.987754030689011,0.5565980360243056,2295.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,2,0.9886523853355648,lb07lnm8,1.0171622808454992,0.5750303819444444,1271.0,0.0749080237694725,0.0007969454818643
steps,2,in_context,3,0.9864130574453402,gt4pyjve,0.9903521725662108,0.5594610934787326,2368.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,4,0.9925571010813352,lmkrm08a,1.0082420346648036,0.5676687961154514,1909.0,0.1931264066149118,0.0004138040112561
steps,2,few_shot,0,1.0512758456604951,9m0kvrl9,1.0491533526423005,0.59075830078125,2213.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,1,1.0497175762854172,8mjvgrzq,1.0420590286661944,0.587496337890625,2208.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,2,1.075061516899927,r9m7zttl,1.0579014964327589,0.5955796508789063,1952.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,3,1.069171493780654,2h30rkyz,1.0536755765175914,0.5961694946289062,1605.0,0.119579995762217,0.0006978281265126
steps,2,few_shot,4,1.048958596491913,5q7x8g4s,1.0695262775130987,0.6044279174804688,1196.0,0.0749080237694725,0.0007969454818643
