fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
steps,1,in_context,0,0.6220436977230133,lgcps5zj,0.629611831460793,0.3543710327148437,1784.0,0.119579995762217,0.0006978281265126
steps,1,in_context,1,0.6287126162158946,sdkag0pw,0.6214074129648414,0.3506108940972222,2901.0,0.146398788362281,0.0001575132049977
steps,1,in_context,2,0.6184243888632548,wbc5hbck,0.6252597067561931,0.3508014594184028,1404.0,0.0912139968434072,0.0003718364180573
steps,1,in_context,3,0.6124594737282664,2r0pfs0w,0.6196729536861073,0.3494189453125,2636.0,0.146398788362281,0.0001575132049977
steps,1,in_context,4,0.622313597551568,2jry11w0,0.6188555100584674,0.3484210544162326,1352.0,0.119579995762217,0.0006978281265126
steps,1,few_shot,0,0.7499130201848462,pe63g7bx,0.7423026760310939,0.4134320068359375,1569.0,0.119579995762217,0.0006978281265126
steps,1,few_shot,1,0.7667099809496782,cq0asma3,0.7240747396194995,0.4054847106933594,914.0,0.0130103185970559,0.0007902619549708
steps,1,few_shot,2,0.7758383465369334,1ajzort7,0.7552368957496415,0.4199358825683594,1208.0,0.0041168988591604,0.0008706020878304
steps,1,few_shot,3,0.7479702702527589,q7tg7agn,0.7483816072345539,0.4171782531738281,1470.0,0.0749080237694725,0.0007969454818643
steps,1,few_shot,4,0.7503889455886982,15emy14o,0.7763058163157692,0.42871142578125,1700.0,0.1878997883128378,0.000616104953938
steps,2,in_context,0,0.9588259051292664,xbzddufq,0.956624411609337,0.5370693630642361,1610.0,0.1939169255529117,0.0003550304858128
steps,2,in_context,1,0.941717535789554,mwr1lde4,0.9490175535929708,0.5342455376519097,1667.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,2,0.9462311520288464,fdyfmgmx,0.964764916460578,0.542339850531684,1145.0,0.1878997883128378,0.000616104953938
steps,2,in_context,3,0.9471409249255658,dfdp7201,0.94365486937667,0.5312386745876736,1593.0,0.1931264066149118,0.0004138040112561
steps,2,in_context,4,0.9503634141402018,1dyup5n5,0.953848895008066,0.5375180053710937,1898.0,0.1939169255529117,0.0003550304858128
steps,2,few_shot,0,1.02427297708923,4t5ztsvc,1.0284846433914128,0.5782906494140625,1598.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,1,1.0161752317343105,22gsluir,1.0094115950032865,0.5689202880859375,1810.0,0.1878997883128378,0.000616104953938
steps,2,few_shot,2,1.0390281383924795,0qk1k3ds,1.0274350196087438,0.5771282958984375,2673.0,0.146398788362281,0.0001575132049977
steps,2,few_shot,3,1.0367700990059172,ff2945ld,1.024564181547527,0.578609130859375,1309.0,0.119579995762217,0.0006978281265126
steps,2,few_shot,4,1.0249173791672528,17isleio,1.028449516441258,0.5804862060546875,1670.0,0.0912139968434072,0.0003718364180573
