task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.0896789229104022,4m4d7mby,0.0910817829241877,0.1322770475078014,688.0,0.1927325521002058,5.846326121643416e-05
in_context,1,0.0896990569896964,e3ecqk06,0.094950322757238,0.1566115708837812,347.0,0.0912300664433097,0.0001370464839284
in_context,2,0.0922886778399047,jmn220tt,0.0914185236053821,0.1276345385962601,285.0,0.0922958724505863,0.0003639639356786
in_context,3,0.0925751297027268,vkl7tlb3,0.0913637455801925,0.1459749948360104,406.0,0.1583450076165329,0.000114232541556
in_context,4,0.0925786001494253,5i93mm8u,0.0923759500878485,0.0584676528336013,606.0,0.1333533430891335,0.00021941976179
few_shot,0,0.0974242803532858,pmgzkydl,0.1101497771449701,0.1434855060222752,409.0,0.1887496157029248,0.0002310152225018
few_shot,1,0.099749492127421,2884konv,0.0921912331299097,0.1428098252764206,288.0,0.1556313501899701,0.0005495716186411
few_shot,2,0.1083160356675822,bzlmw727,0.0872463673802078,0.1858833297065775,331.0,0.003757960087271,0.0001718980674331
few_shot,3,0.1014854039141868,3177uazn,0.1034862285752252,0.1733610972151187,284.0,0.0529111224209254,0.0003535634629148
few_shot,4,0.1014480744334721,07cf6bwg,0.106122564346851,0.1693993628884494,319.0,0.1097627007854649,0.0002693883019285
