task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.0987014707305542,5yzffejq,0.1002095766373093,
in_context,1,0.1003226066980201,jioymfeb,0.1010603899474196,
in_context,2,0.0985322973690762,m45ektqr,0.1023642990918519,
in_context,3,0.1019696311940158,uncxnwua,0.1025062711136673,
in_context,4,0.100733659918306,a63a7ch9,0.0999439757163313,
few_shot,0,0.1088578065552129,tfgmx9at,0.1216716374385682,0.0655663495716216
few_shot,1,0.1083851539501931,mgejqwgv,0.1013647174266905,0.0543847960163582
few_shot,2,0.1119590913919314,123ef205,0.1011763890155016,0.0536653403432325
few_shot,3,0.1097332235968969,p87bpgl2,0.1124610260544596,0.0599788559008541
few_shot,4,0.1123446611593715,iq0hmy4i,0.1143338521549435,0.0612715538750748
