task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.1007673902632356,4drnpd4j,0.0994305971973179,0.0560846402492529
in_context,1,0.1017207383782981,qzezqcvd,0.10488710234145,0.0585123660565722
in_context,2,0.1024239352649094,ipdwcawp,0.1024482860320969,0.0569591817569636
in_context,3,0.1021771549835828,urlyjkje,0.1034441785862174,0.0579475939004826
in_context,4,0.1027705428493402,3fepm2i2,0.100095790515507,0.0564361267921258
few_shot,0,0.1050490494670352,rq75qfs2,0.1138596762546576,0.0637395368559496
few_shot,1,0.1036868396467766,u72momq6,0.0958277689695734,0.054906240008502
few_shot,2,0.1120958959343201,q2ogz9g9,0.0992112209766395,0.0556414474965533
few_shot,3,0.1075530512789131,ktwszp3b,0.1087090537001836,0.060938191855161
few_shot,4,0.1082335394602899,bgtfszwv,0.1108250298953972,0.0613879006720608
