task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,epochs_trained,model.params.dropout,model.train_params.learning_rate
in_context,0,0.0901396105203487,6qfhnecm,0.0921685276695591,0.1802468803829144,449.0,0.0630856701848367,5.338528208876637e-05
in_context,1,0.0911714170104878,zmd89hse,0.0955404108946225,0.1081060219662055,312.0,0.0922958724505863,0.0003639639356786
in_context,2,0.0918805120993523,g6jk58sf,0.0923444047819926,0.1786406250287219,280.0,0.003757960087271,0.0001718980674331
in_context,3,0.093074112545352,lmn415l9,0.0921126105484949,0.1300504540040781,636.0,0.1043696643500143,6.75031252159592e-05
in_context,4,0.0917618725290989,qenu4mmr,0.0915943337919687,0.0505427154029339,775.0,0.1333533430891335,0.00021941976179
few_shot,0,0.098769207441985,48cm9wny,0.1134252607550741,0.1009877074988696,330.0,0.1136089122187864,0.0007098936257405
few_shot,1,0.0999329891591133,hmqf0wp2,0.0944491974259891,0.1968730137981508,294.0,0.0236548851737866,0.0001904767808428
few_shot,2,0.1094166321304178,fwxlbkf6,0.0882860591135808,0.2087288491545746,1016.0,0.0142072116395773,1.4936835544198446e-05
few_shot,3,0.1012339755907732,am5znovi,0.1040636763720292,0.1814148485554305,335.0,0.0236548851737866,0.0001904767808428
few_shot,4,0.1029208222346325,3c6axavp,0.1056257396490887,0.1808264629632563,256.0,0.0040436794880651,0.0004626362841475
