task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.1114245460433138,p66x87ed,0.1124640562186683,0.0592564402632868
in_context,1,0.10861436033166,2kc2shul,0.111666394356326,0.0587977867020471
in_context,2,0.1105576138125204,rpxhogv2,0.1131019146649227,0.059522600418281
in_context,3,0.1127551385655094,1yjkkfv9,0.1128098380727645,0.0599779108330796
in_context,4,0.110421060513476,tyne5o4h,0.1094933390391169,0.0586303142798002
few_shot,0,0.1231692896500877,7rkvfbzz,0.1263478080244484,0.0701721573597601
few_shot,1,0.1213325981059994,u5epmlj3,0.1140267420646169,0.0629802546330832
few_shot,2,0.126936222889447,g7jd8qv8,0.1136516641247735,0.0617607174065627
few_shot,3,0.1178760121796954,z2scaqf7,0.1267437473029466,0.0704016031418944
few_shot,4,0.1238349318323068,py7195q0,0.1324448081716705,0.0712681414682101
