task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
in_context,0,0.0860493858272875,9dotpvuf,0.086859957636785,0.0442799665375604
in_context,1,0.0874253075697927,jliaftu4,0.0894644739578477,0.0456199925248038
in_context,2,0.0897116058692793,6whrm1o4,0.0864999005382388,0.0441549071849502
in_context,3,0.089863469738906,lgs67ghp,0.0879158728183434,0.0449486196352834
in_context,4,0.0866191286215529,vdjjki8f,0.0864443774205019,0.0444215096396677
few_shot,0,0.0912126264577592,4r3u9ekb,0.0987682793106159,0.0526441195252817
few_shot,1,0.095968763222348,bl7sgq9n,0.0846474737108347,0.0449214629966484
few_shot,2,0.1039813783765999,4nt7i7pe,0.0824093852205626,0.0431266408920978
few_shot,3,0.0976006150672028,8enlvo2f,0.0921963931308155,0.0482679587719404
few_shot,4,0.0965770980047106,toapxqil,0.0964069048761533,0.0512303382779486
