model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,steps,1,in_context,0.598365528687426,0.01141450601428216,5,0.2924431184895833,0.0018014925341600172,5,0.005104722275503019,0.0008056519534680321
npboost,steps,1,few_shot,0.6575424332465744,0.022658962870895343,5,0.3427237548828125,0.009246434746467816,5,0.010133396255793155,0.004135131328523614
npboost,steps,2,in_context,0.9357395953419498,0.009667933180374783,5,0.4994127083333334,0.0038795998672937868,5,0.00432363115864875,0.001735009805753614
npboost,steps,2,few_shot,1.0897562263174088,0.022767353882662413,5,0.5836020751953125,0.010601154029678933,5,0.010181870189885384,0.004740980210061583
anpboost,steps,1,in_context,0.5936775331159776,0.007825476971781913,5,0.28859066406249995,0.0011843301933802217,5,0.003499659693052712,0.0005296485640407295
anpboost,steps,1,few_shot,0.6408859024857174,0.014601331899376456,5,0.32916973876953126,0.006755538431396656,5,0.0065299141378083745,0.0030211686314430444
anpboost,steps,2,in_context,0.9373604070524484,0.006226600315190529,5,0.49752800781250006,0.0017857119235020315,5,0.0027846203146975274,0.0007985946498364893
anpboost,steps,2,few_shot,1.058556915219344,0.021287995473132447,5,0.5640916625976562,0.011368685920704091,5,0.00952028099652639,0.005084230906707826
np,steps,1,in_context,0.6186034416261105,0.007332947507923082,5,0.3033791731770833,0.0032021407980262046,5,0.0032793938206307376,0.0014320408995824035
np,steps,1,few_shot,0.6817804894851691,0.027500955024013157,5,0.3525304382324218,0.012523874052790788,5,0.012298800975971556,0.005600846744737198
np,steps,2,in_context,0.9744683174625266,0.002444515673393085,5,0.5185707291666667,0.002313145899041023,5,0.0010932206435541225,0.0010344702944261185
np,steps,2,few_shot,1.137685910390044,0.02576115122874267,5,0.6076860717773437,0.013068941668466779,5,0.011520737065224168,0.005844608392934247
anp,steps,1,in_context,0.5968518601529674,0.008400553407951584,5,0.2914113020833333,0.0032917017892500743,5,0.0037568416937594526,0.0014720937924841704
anp,steps,1,few_shot,0.6379870538573761,0.014324694981076806,5,0.3275501831054687,0.006966489390647902,5,0.00640619834692756,0.0031155087684039593
anp,steps,2,in_context,0.9514111488808215,0.010753530066836482,5,0.50476830078125,0.0033764502652182103,5,0.004809124845506846,0.0015099944631350223
anp,steps,2,few_shot,1.0679496466144962,0.024882418632465205,5,0.5697010009765625,0.012789932933800152,5,0.01112775590135991,0.005719831893528092
gbm_group_cat,steps,1,in_context,0.6221196220443469,0.01324493989617123,5,,,0,0.005923317193147575,
gbm_group_cat,steps,1,few_shot,1.467804853350732,0.08258727648758747,5,,,0,0.036934152860563126,
gbm_group_cat,steps,2,in_context,0.9696205665161692,0.015381324052588413,5,,,0,0.006878737233108048,
gbm_group_cat,steps,2,few_shot,2.003855084515524,0.08441284651218804,5,,,0,0.03775057259510169,
gbm_no_group,steps,1,in_context,1.4856202430182717,0.009642637864750872,5,,,0,0.004312318749599275,
gbm_no_group,steps,1,few_shot,1.4653935921514905,0.08134787059763167,5,,,0,0.03637987369623217,
gbm_no_group,steps,2,in_context,2.0435103371537564,0.015052999142061079,5,,,0,0.006731905869378917,
gbm_no_group,steps,2,few_shot,1.9984698060090604,0.08614288755918002,5,,,0,0.03852427047208949,
gplinear,steps,1,in_context,0.7063409046413682,0.01243626689231202,5,0.3580115428716991,0.0017318900932659703,5,0.005561667631507947,0.000774524795620232
gplinear,steps,1,few_shot,0.8646209517173599,0.026513624107811197,5,0.44525651571831243,0.008010501990648199,5,0.011857253166988609,0.003582405396997351
gplinear,steps,2,in_context,1.0732788668346662,0.011377869574900458,5,0.5816509851203863,0.004716052901993412,5,0.0050883379617208116,0.0021090829748684845
gplinear,steps,2,few_shot,1.2972559156761865,0.02256395817969521,5,0.704497744940483,0.009587276076820262,5,0.01009090886625218,0.00428756020536552
lme,steps,1,in_context,1.179191636004715,0.016648181391410194,5,0.6965279331806231,0.007193899318366594,5,0.007445293058588045,0.0032172095798314207
lme,steps,1,few_shot,1.1920691086876083,0.01829845593810958,5,0.7062260717162405,0.008838847238679204,5,0.008183318272179541,0.003952852653684601
lme,steps,2,in_context,1.5849100772521216,0.010788723640416657,5,0.926310901057725,0.005588767080206624,5,0.0048248638900861285,0.002499372620351006
lme,steps,2,few_shot,1.6246828973023166,0.018372705624965912,5,0.9491040752387617,0.010463259798264917,5,0.008216523741603306,0.004679312035032218
tabicl_taskwise,steps,1,in_context,0.7208484338229804,0.012418981649368244,5,0.33548265931940435,0.002474823157283255,5,0.00555393743586197,0.0011067745623952025
tabicl_taskwise,steps,1,few_shot,0.9017159729054969,0.013647595436918352,5,0.4545127111123649,0.005537220305863035,5,0.006103390225273076,0.0024763202020603847
tabicl_taskwise,steps,2,in_context,1.1379806499787701,0.013578921368396177,5,0.6163741734027629,0.002768366734349557,5,0.006072678248171663,0.001238051240930942
tabicl_taskwise,steps,2,few_shot,1.4573958559390179,0.024290721290039004,5,0.8105627197579887,0.01258281215688443,5,0.01086314080540572,0.005627204666180866
tabicl_pooled,steps,1,in_context,1.4240543964469077,0.03026904042908405,5,0.7492364958277982,0.02723224682098275,5,0.013536726402624266,0.012178631014353994
tabicl_pooled,steps,1,few_shot,1.527750149720148,0.05830408114638366,5,0.8259926939175914,0.03396888196587344,5,0.026074377761795546,0.01519134583907194
tabicl_pooled,steps,2,in_context,2.0212294494914134,0.023644198617130255,5,1.0263153221008676,0.009171705230053716,5,0.010574007076281955,0.0041017112727980915
tabicl_pooled,steps,2,few_shot,2.0411104387044987,0.0671082509969549,5,1.0433469812237395,0.03794053457275956,5,0.030011722216061836,0.016967522881474264
